OBJECTID,KOM_NAMN,ID,Shape_Area,Shape_Length,,KOMMUNID_txt
1,Upplands Väsby,114,84264944.17.00,58366.3220409382,,114
2,Vallentuna,115,371073987.13.00,675076.29.00,,115
3,Österåker,117,557644252.36.00,13182176.53.00,,117
4,Värmdö,120,1641422888.16992,9585580.58.00,,120
5,Järfälla,123,63380847.54.00,44211.3236267746,,123
6,Ekerö,125,386552229.15.00,25070147.47.00,,125
7,Huddinge,126,141393266.09.00,22497489.49.00,,126
8,Botkyrka,127,223504194.17.00,88496.2610139534,,127
9,Salem,128,71607272.14.00,55327.9155055244,,128
10,Haninge,136,1237204175.58154,12902179.18.00,,136
11,Tyresö,138,101020452.48.00,54012.2756450274,,138
12,Upplands-Bro,139,328307320.07.00,86038.9652812272,,139
13,Nykvarn,140,177915913.16.00,70931.3821900725,,140
14,Täby,160,71673810.13.00,37627.6994270653,,160
15,Danderyd,162,32690579.33.00,27654.9152977527,,162
16,Sollentuna,163,58313706.36.00,43880.5108419881,,163
17,Stockholm,180,215792765.54.00,4336935.43.00,,180
18,Södertälje,181,697761344.18.00,11491007.28.00,,181
19,Nacka,182,129488569.29.00,5285987.26.00,,182
20,Sundbyberg,183,9162113.12.00,16640488.54.00,,183
21,Solna,184,21777634.53.00,24036.9170606311,,184
22,Lidingö,186,49271878.15.00,32008.8196101442,,186
23,Vaxholm,187,110115670.39.00,54625.5121762789,,187
24,Norrtälje,188,3578111466.98486,16573480.49.00,,188
25,Sigtuna,191,351742698.12.00,852476.36.00,,191
26,Nynäshamn,192,752874450.02.00,11364448.59.00,,192
27,Håbo,305,186117057.32.00,78020.8368553977,,305
28,Älvkarleby,319,273625472.21.00,3091849.07.00,,319
29,Knivsta,330,296804347.52.00,10857036.15.00,,330
30,Heby,331,1231764500.05664,6601453.26.00,,331
31,Tierp,360,1802071599.05176,6626419.19.00,,360
32,Uppsala,380,2246748821.10938,11349821.59.00,,380
33,Enköping,381,1330553079.08252,6917346.08.00,,381
34,Östhammar,382,1950644558.32617,4543939.28.00,,382
35,Vingåker,428,441539756.26.00,979022.54.00,,428
36,Gnesta,461,540793936.36.00,9580655.42.00,,461
37,Nyköping,480,1826189230.31909,11754190.26.00,,480
38,Oxelösund,481,76379994.15.00,41884.9589690719,,481
39,Flen,482,830068458.07.00,1081876.33.00,,482
40,Katrineholm,483,1195053343.73975,518037.41.00,,483
41,Eskilstuna,484,1256752991.09351,16199381.24.00,,484
42,Strängnäs,486,979638384.255127,5078544.36.00,,486
43,Trosa,488,485518229.35.00,13608061.44.00,,488
44,Ödeshög,509,536535862.08.00,15045951.29.00,,509
45,Ydre,512,782024576.28.00,7832521.57.00,,512
46,Kinda,513,1307735005.53809,1403257.31.00,,513
47,Boxholm,560,606566104.15.00,4047552.31.00,,560
48,Åtvidaberg,561,783800644.31.00,14080706.18.00,,561
49,Finspång,562,1220798357.46948,2334161.36.00,,562
50,Valdemarsvik,563,1123947812.50146,4314962.16.00,,563
51,Linköping,580,1574910238.34717,15312090.55.00,,580
52,Norrköping,581,1960205562.2959,522946.09.00,,581
53,Söderköping,582,1008313985.57739,12882939.16.00,,582
54,Motala,583,1183585173.42407,1102068.27.00,,583
55,Vadstena,584,256442299.54.00,95755.6274638138,,584
56,Mjölby,586,559694303.12.00,2508850.08.00,,586
57,Aneby,604,556499339.21.00,6822501.31.00,,604
58,Gnosjö,617,451878693.38.00,13918901.29.00,,617
59,Mullsjö,642,212280324.58.00,11776318.24.00,,642
60,Habo,643,385825694.49.00,8889083.23.00,,643
61,Gislaved,662,1224547779.43335,6087529.02.00,,662
62,Vaggeryd,665,863478073.296143,2588880.59.00,,665
63,Jönköping,680,1560468472.08423,8253125.43.00,,680
64,Nässjö,682,991747066.499512,4662572.55.00,,682
65,Värnamo,683,1391576376.13232,8533609.47.00,,683
66,Sävsjö,684,731855498.37.00,15522909.28.00,,684
67,Vetlanda,685,1606651546.47632,15322926.06.00,,685
68,Eksjö,686,877670756.669678,8598039.56.00,,686
69,Tranås,687,439465400.36.00,14101788.56.00,,687
70,Uppvidinge,760,1231800176.64209,11325520.47.00,,760
71,Lessebo,761,458211785.49.00,9724357.51.00,,761
72,Tingsryd,763,1212190834.21313,2500342.13.00,,763
73,Alvesta,764,1078913627.75024,2219314.31.00,,764
74,Älmhult,765,981621787.411865,8004450.04.00,,765
75,Markaryd,767,535782449.43.00,13201193.16.00,,767
76,Växjö,780,1922012449.94165,9051052.47.00,,780
77,Ljungby,781,2001443580.61084,10949842.12.00,,781
